recipe_id,source_file,recipe_title,cuisine_family,dish_category,protein,starch,vegetables,sauce_or_marinade,core_ingredients,cooking_method,equipment,prep_complexity_1_5,labour_intensity_1_5,batch_suitability_1_5,holding_reheat_score_1_5,delivery_suitability_1_5,customer_familiarity_1_5,premium_pricing_1_5,waste_risk_1_5,cross_utilisation_1_5,commercial_deployability_score,consumer_craving_score,abundance_illusion_score,shareability_score,scarcity_drop_potential,productization_potential,safari_lounge_fit,ghost_kitchen_fit,catering_fit,consulting_value_fit,saas_dataset_fit,best_business_model,derivative_original_ideas,commercial_notes,needs_review,dependency_control_score
rcp_083d7ca0e019,"D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Milk,_Spice_and_Curry_Leaves_by_Ruwanmali_Samarakoon_Amunugama.pdf",Curry Leaves,Sri Lankan / Curry,Wet Main / Bowl,pork,,,curry,pork; curry,mixed/unknown,standard kitchen,3,2,4,3,4,4,2,1,4,18,4,3,3,3,3,4,5,3,4,5,ghost kitchen menu item,Curry Leaves bowl/wrap combo; delivery-safe sauce-on-side variant; lunch subscription item.,strong commercial deployability,no,35
rcp_7fa037a37197,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The Woks of Life by Bill Leung.epub,Grilled Lamb Skewers,American BBQ,Hot Main,beef; chicken; pork; lamb,grain,,dip,beef; chicken; pork; lamb; grain; dip,grilled; boiled,grill; stock pot; blender,3,3,3,2,4,4,3,1,5,17,5,3,3,3,4,4,5,2,5,5,ghost kitchen menu item,Grilled Lamb Skewers bowl/wrap combo; delivery-safe sauce-on-side variant; lunch subscription item.,strong commercial deployability; component/product line candidate,no,35
rcp_29f8cd10edf0,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Crock_Pot_1825_Crock_Pot_Recipes_5_years_of_Crock_Pot_Slow_Cooker.pdf,"can cream of celery soup, low fat",General / Fusion,Wet Main / Bowl,chicken,,,,chicken,braised; boiled,stock pot,3,2,5,3,4,4,3,1,3,19,4,5,4,3,3,4,5,5,3,3,catering tray / office bundle,"can cream of celery soup, low fat office tray; family allocation tray; weekend preorder bundle with premium add-ons.","strong commercial deployability; works as tray, bundle, or group-buy format",no,33
rcp_34f0f433c353,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Los_Barrios_Family_C_by_Diana_Barrios_Treviñ_z_lib_or.pdf,Breakfast,Latin / Tex-Mex,Wet Main / Bowl,chicken,,,,chicken,boiled; raw/cold,stock pot,3,2,5,3,4,4,3,2,3,18,4,5,4,3,3,5,5,5,3,3,catering tray / office bundle,Breakfast office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; works as tray, bundle, or group-buy format",no,32
rcp_3032e79ceb77,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Los_Barrios_Family_C_by_Diana_Barrios_Treviñ_z_lib_or.pdf,Appetizers,Latin / Tex-Mex,Wet Main / Bowl,chicken,,,,chicken,boiled; raw/cold,stock pot,3,2,5,3,4,4,3,2,3,18,4,5,4,3,3,5,5,5,3,3,catering tray / office bundle,Appetizers office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; works as tray, bundle, or group-buy format",no,32
rcp_94b875e7f5f5,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Los_Barrios_Family_C_by_Diana_Barrios_Treviñ_z_lib_or.pdf,Salads,Latin / Tex-Mex,Wet Main / Bowl,chicken,,,,chicken,boiled; raw/cold,stock pot,3,2,5,3,4,4,3,2,3,18,4,5,4,3,3,5,5,5,3,3,catering tray / office bundle,Salads office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; works as tray, bundle, or group-buy format",no,32
rcp_f6cc756704e3,"D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Milk,_Spice_and_Curry_Leaves_by_Ruwanmali_Samarakoon_Amunugama.pdf",Grains,Sri Lankan / Curry,Cold / Prep Ahead,pork; vegetarian,,,,pork; vegetarian,raw/cold,standard kitchen,2,2,5,3,4,3,4,2,3,18,3,4,4,3,2,5,4,5,3,3,catering tray / office bundle,Grains office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; works as tray, bundle, or group-buy format",no,32
rcp_903ff291e632,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\South African Illustrated Cookbook.pdf,Illustrated,South African,Wet Main / Bowl,pork; seafood,,,,pork; seafood,boiled; raw/cold,stock pot,3,2,4,3,4,4,3,2,3,17,3,3,3,2,3,3,5,3,2,3,ghost kitchen menu item,Illustrated bowl/wrap combo; delivery-safe sauce-on-side variant; lunch subscription item.,strong commercial deployability,no,29
rcp_8e47da477f1c,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\South African Illustrated Cookbook.pdf,Cookbook,South African,Wet Main / Bowl,pork; seafood,,,,pork; seafood,boiled; raw/cold,stock pot,3,2,4,3,4,4,3,2,3,17,3,3,3,2,3,3,5,3,2,3,ghost kitchen menu item,Cookbook bowl/wrap combo; delivery-safe sauce-on-side variant; lunch subscription item.,strong commercial deployability,no,29
rcp_03b2d927a87b,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\South African Illustrated Cookbook.pdf,Lifestyle,South African,Wet Main / Bowl,pork; seafood; egg,,,,pork; seafood; egg,boiled; raw/cold,stock pot,3,2,4,3,4,4,3,2,3,17,3,3,3,2,3,3,5,3,2,3,ghost kitchen menu item,Lifestyle bowl/wrap combo; delivery-safe sauce-on-side variant; lunch subscription item.,strong commercial deployability,no,29
